epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1853.58,0.79957,0.45421,1.00091,0.98181,0.98833,0.995,0.84445,0.78814,0.3376,0.93822,0.000408295,0.000408295,0.000408295
105,1870.11,0.80645,0.46574,1.00527,0.97755,0.97977,0.995,0.84148,0.82222,0.3486,0.95019,0.000404172,0.000404172,0.000404172
106,1887.49,0.80605,0.44936,1.00251,0.97309,0.98404,0.995,0.82214,0.8431,0.34409,0.9473,0.000400048,0.000400048,0.000400048
107,1904.55,0.81521,0.46475,1.01086,0.97062,0.97645,0.995,0.82412,0.8411,0.34121,0.94624,0.000395925,0.000395925,0.000395925
108,1923.02,0.79343,0.46637,0.9999,0.98437,0.97696,0.995,0.82147,0.87032,0.34345,0.95181,0.000391802,0.000391802,0.000391802
109,1943.25,0.77978,0.44836,0.99556,0.98452,0.97308,0.99333,0.82317,0.84131,0.36897,0.95045,0.000387678,0.000387678,0.000387678
110,1970.71,0.79375,0.45792,0.98877,0.98156,0.97532,0.995,0.81933,0.8664,0.36117,0.95307,0.000383555,0.000383555,0.000383555
111,1991.96,0.80755,0.47282,1.00383,0.97052,0.99469,0.995,0.81923,0.88045,0.35466,0.95488,0.000379431,0.000379431,0.000379431
112,2011.43,0.78993,0.4628,0.99134,0.98311,0.98139,0.99333,0.84309,0.81893,0.34941,0.94452,0.000375308,0.000375308,0.000375308
113,2029.3,0.78891,0.45189,1.00046,0.98043,0.97591,0.995,0.83336,0.87734,0.34929,0.96974,0.000371185,0.000371185,0.000371185
114,2050.4,0.77137,0.43866,0.98412,0.98553,0.97339,0.995,0.82245,0.86398,0.34435,0.95587,0.000367061,0.000367061,0.000367061
115,2070.63,0.79368,0.45647,0.99595,0.98379,0.98071,0.995,0.81042,0.84171,0.35148,0.95438,0.000362938,0.000362938,0.000362938
116,2092.9,0.79978,0.44967,1.00402,0.97912,0.97816,0.995,0.82918,0.87236,0.34181,0.96033,0.000358815,0.000358815,0.000358815
117,2116.98,0.79043,0.44745,0.99587,0.98182,0.99845,0.995,0.83151,0.8562,0.32774,0.95361,0.000354691,0.000354691,0.000354691
118,2137.62,0.78188,0.43927,0.99209,0.98645,0.99368,0.995,0.82942,0.83449,0.33791,0.94597,0.000350568,0.000350568,0.000350568
119,2160.16,0.78846,0.45093,0.99337,0.97588,1,0.995,0.83869,0.82497,0.32513,0.94552,0.000346445,0.000346445,0.000346445
120,2180.35,0.77544,0.44643,0.99387,0.97458,0.98526,0.995,0.83999,0.83131,0.32828,0.94395,0.000342321,0.000342321,0.000342321
